source,target,src_lang,tgt_lng
wind turbine,风力机,en,zh
wind turbine generator system,风力发电机组,en,zh
WTGS,风力发电机组,en,zh
wind power station,风电场,en,zh
wind farm,风电场,en,zh
horizontal axis wind turbine,水平轴风力机,en,zh
vertical axis wind turbine,垂直轴风力机,en,zh
hub (for wind turbines),轮毂(风力机),en,zh
nacelle,机舱,en,zh
support structure (for wind turbines),支撑结构(风力机),en,zh
shutdown (for wind turbines),关机(风力机),en,zh
normal shutdown (for wind turbines),正常关机(风力机),en,zh
emergency shutdown (for wind turbines),紧急关机(风力机),en,zh
idling (for wind turbines),空转(风力机),en,zh
blocking (for wind turbines),锁定(风力机),en,zh
parking,停机,en,zh
standstill,静止,en,zh
brake (for wind turbines),制动器(风力机),en,zh
parking brake (for wind turbines),停机制动(风力机),en,zh
rotor speed (for wind turbines),风轮转速(风力机),en,zh
control system (for wind turbines),控制系统(风力机),en,zh
protection system (for WTGS),保护系统(风力发电机组),en,zh
yawing,偏航,en,zh
design situation,设计工况,en,zh
load case,载荷状况,en,zh
external conditions (for wind turbines),外部条件(风力机),en,zh
design limits,设计极限,en,zh
limit state,极限状态,en,zh
serviceability limit states,使用极限状态,en,zh
ultimate limit state,最大极限状态,en,zh
safe life,安全寿命,en,zh
catastrophic failure (for wind turbines),严重故障(风力机),en,zh
latent fault,潜伏故障,en,zh
dormant failure,潜伏故障,en,zh
wind speed,风速,en,zh
wind velocity,风矢量,en,zh
rotationally sampled wind velocity,旋转采样风矢量,en,zh
rated wind speed (for wind turbines),额定风速(风力机),en,zh
cut-in wind speed,切入风速,en,zh
cut-out wind speed,切出风速,en,zh
annual average,年平均,en,zh
annual average wind speed,年平均风速,en,zh
mean wind speed,平均风速,en,zh
extreme wind speed,极端风速,en,zh
survival wind speed (deprecated),安全风速(拒用),en,zh
reference wind speed,参考风速,en,zh
wind speed distribution,风速分布,en,zh
Rayleigh distribution,瑞利分布,en,zh
Weibull distribution,威布尔分布,en,zh
wind shear,风切变,en,zh
wind profile,风廓线;风切变律,en,zh
wind shear law,风廓线;风切变律,en,zh
wind shear exponent,风切变指数,en,zh
logarithmic wind shear law,对数风切变律,en,zh
power law for wind shear,风切变幂律,en,zh
downwind,下风向,en,zh
upwind,上风向,en,zh
gust,阵风,en,zh
roughness length,粗糙长度,en,zh
turbulence intensity,湍流强度,en,zh
